,0,1,2,3
108,KWABAINB25,West Port Blakely,Bainbridge Island,Davis Vantage Pro2 Plus (Wireless)
109,KWABAINB7,,Bainbridge Island,Davis VantagePro Plus
110,KWABAINB43,Eagle Harbor Marina,Bainbridge Island,Rainwise MK-III
111,KWABAINB45,Bay Hill Meadowmeer,Bainbridge Island,Ambient Weather WS-1400-IP (Wireless)
112,KWABAINB35,Manitou Beach,Bainbridge Island,AcuRite Pro Weather Center
113,KWABAINB40,Horizon View,Bainbridge Island,Ambient Weather WS-1001-WiFi (Wireless)
114,KWABAINB46,Olympic Terrace,Bainbridge Island,AcuRite Pro Weather Center
115,KWABAINB22,Madison Avenue Northeast,Bainbridge Island,Netatmo
116,KWABAINB50,Blakely Heights,Bainbridge Island,Ambient Weather WS-1200-IP (Wireless)
117,KWABAINB38,Blakely,Bainbridge Island,Davis Vantage Vue (Wireless)
118,KWABAINB49,Windsong Loop,Bainbridge Island,Bloomsky
119,KWABARIN3,Riverwood,Baring,other
120,KWABATTL34,Battlebrook,Battle Ground,AcuRite Pro Weather Center
121,KWABATTL33,Crawford,Battle Ground,AcuRite Pro Weather Center
122,KWABATTL7,1.5 miles east of Heisson - Woodhaven,Battle Ground,Davis Vantage Pro 2
123,KWABATTL20,Crawford,Battle Ground,Davis Vantage PRO2
124,KWABATTL16,Battle Ground 167th/219th,Battle Ground,Vantage Vue
125,KWABATTL18,Battle Ground,Battle Ground,Vantage Pro 2
126,KWABATTL25,Bell Mountain Mining Company Estates,Battle Ground,AcuRite Pro Weather Center
127,KWABATTL37,Parkside Airpark,Battle Ground,Ambient Weather WS-1001-WiFi (Wireless)
128,KWABATTL28,Northeast 207th Street,Battle Ground,Netatmo
129,KWABATTL12,MrBear@Clover Meadows,Battle Ground,Ambient Weather WS-1001-WiFi (Wireless)
130,KWABATTL17,BATTLE GROUND .5 m North of H.S.,Battle Ground,Davis Vantage VUE
131,KWABATTL30,rock creek canyon estates,Battle Ground,AcuRite Pro Weather Center
132,KWABATTL31,Creekview Point,Battle Ground,AcuRite Pro Weather Center
133,KWABATTL27,Charter Oak,Battle Ground,AcuRite Pro Weather Center
134,KWABATTL3,2 blks E. of Captain Strong Primary,Battle Ground,AcuRite Pro Weather Center
135,KWABATTL26,Near Chief Umtuch Middle School,Battle Ground,AcuRite Pro Weather Center
136,KWABATTL44,Venersborg,Battle Ground,Ambient Weather WS-1001-WiFi (Wireless)
137,KWABATTL36,Dollar's Corner,Battle Ground,Ambient Weather WS-1001-WiFi (Wireless)
138,KWABATTL19,,Battle Ground 199th/parkway,WS-1080
139,KWABELFA12,Union River Estuary,Belfair,Davis Vantage Pro2 (Wireless)
140,KWABELFA6,Happy Hollow Estates,Belfair,Ambient Weather WS-900-IP (Wireless)
141,KWABELLE57,Bellewood East,Bellevue,Ambient Weather WS-1400-IP (Wireless)
142,KWABELLE135,Lake Hills,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
143,KWABELLE17,Bellevue - Downtown Park,Bellevue,Davis Vantage Pro 2
144,KWABELLE100,Enatai,Bellevue,Ambient Weather WS-1200-IP (Wireless)
145,KWABELLE35,Glendale 3rd Tee,Bellevue,Davis Vantage Pro 2
146,KWABELLE141,Surrey Downs,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
147,KWABELLE154,College hill,Bellevue,Ambient Weather WS-1400-IP (Wireless)
148,KWABELLE99,Newport Hills,Bellevue,Ambient Weather WS-1400-IP (Wireless)
149,KWABELLE151,Wilburton Hill,Bellevue,AcuRite Pro Weather Center
150,KWABELLE118,Tam O'Shanter,Bellevue,AcuRite Pro Weather Center
151,KWABELLE156,Sunset Park,Bellevue,AcuRite Pro Weather Center
152,KWABELLE4,summit,Bellevue,vantage pro2 fan asp
153,KWABELLE16,Redwood Estates,Bellevue,WMR968_APRS
154,KWABELLE107,Wilburton,Bellevue,Netatmo
155,KWABELLE111,Northeast 2nd Place,Bellevue,Netatmo
156,KWABELLE119,Northeast Bellevue,Bellevue,Netatmo
157,KWABELLE126,West Bellevue,Bellevue,Netatmo
158,KWABELLE128,Northwest Bellevue,Bellevue,Netatmo
159,KWABELLE139,Kirkland,Bellevue,Netatmo
160,KWABELLE149,Bellevue,Bellevue,Netatmo
161,KWABELLE46,Bellevue-Bellevue Way,Bellevue,
162,KWABELLE50,Northeast Bellevue,Bellevue,Netatmo
163,KWABELLE53,Northeast 14th Street,Bellevue,Netatmo
164,KWABELLE56,West Lake Hills,Bellevue,Netatmo
165,KWABELLE58,Bridle Trails,Bellevue,Netatmo
166,KWABELLE61,Cougar Mountain,Bellevue,Netatmo
167,KWABELLE66,Memellandstraße,Bellevue,Netatmo
168,KWABELLE68,Bridle Trails,Bellevue,Netatmo
169,KWABELLE78,East Lake Hills,Bellevue,Netatmo
170,KWABELLE80,Northeast Bellevue,Bellevue,Netatmo
171,KWABELLE91,Wilburton,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
172,KWABELLE43,Lakemont Highlands,Bellevue,Davis Vantage Pro2 (Wireless)
173,KWABELLE47,Bretton Wood,Bellevue,other
174,KWABELLE152,Robinswood,Bellevue,AcuRite Pro Weather Center
175,KWABELLE158,Bellewood East,Bellevue,Bloomsky2 + Storm
176,KWABELLE150,Forest Drive/Somerset,Bellevue,AcuRite Pro Weather Center
177,KWABELLE83,Lake Crest,Bellevue,Davis Vantage Vue (Wireless)
178,KWABELLE117,Enatai,Bellevue,Ambient Weather WS-1400-IP (Wireless)
179,KWABELLE124,Downtown Bellevue,Bellevue,AcuRite Pro Weather Center
180,KWABELLE143,Newport Hills,Bellevue,AcuRite Pro Weather Center
181,KWABELLE133,Downtown Bellevue,Bellevue,Bloomsky
182,KWABELLE142,Bellevue NorthTowne,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
183,KWABELLE65,Cougar Hills,Bellevue,AcuRite Pro Weather Center
184,KWABELLE75,Lake Sammamish,Bellevue,Ambient Weather WS-1400-IP (Wireless)
185,KWABELLE31,Horizon Crest,Bellevue,Davis Vantage Pro 2
186,KWABELLE153,Tam O'Shanter,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
187,KWABELLE159,Forest Glen East,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
188,KWABELLE98,Pinnacle,Bellevue,Davis Vantage Vue (Wireless)
189,KWABELLE114,Amherst,Bellevue,Ambient Weather WS-1001-WiFi (Wireless)
190,KWABELLI40,Hannegan and Kelly,Bellingham,Ambient Weather WS-1000 (Wireless)
191,KWABELLI119,Strawberry Point,Bellingham,AcuRite Pro Weather Center
192,KWABELLI80,Edgmore,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
193,KWABELLI107,St. Clair Park,Bellingham,AcuRite Pro Weather Center
194,KWABELLI42,Viewmont Heights,Bellingham,Davis Vantage Pro 2
195,KWABELLI140,Silver Beach,Bellingham,Ambient Weather WS-1400-IP (Wireless)
196,KWABELLI136,Cordata - THOMAS,Bellingham,AcuRite Pro Weather Center
197,KWABELLI33,Sudden Valley/Lake Whatcom,Bellingham,Rain Wise MKIII
198,KWABELLI55,Yew St Rd,Bellingham,Vantage Pro2
199,KWABELLI70,Alabama Hill - Illinois Lane,Bellingham,Davis Vantage Vue (Wireless)
200,KWABELLI66,South Hills - Padden,Bellingham,Davis Vantage
201,KWABELLI47,Deming,Bellingham,Ambient Weather WS-2080-IP
202,KWABELLI96,Columbia -- Alexander House,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
203,KWABELLI71,Birchwood,Bellingham,Ambient Weather WS-1000 (Wireless)
204,KWABELLI84,Columbia / Lorraine Ellis,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
205,KWABELLI17,Locust Beach Driftwood (1 mile out),Bellingham,Davis Vantage Pro
206,KWABELLI60,Columbia-Eldridge Marimba Palace,Bellingham,LaCrosse
207,KWABELLI97,Geneva SE,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
208,KWABELLI129,Fairhaven Residential,Bellingham,Ambient Weather WS-1200-IP (Wireless)
209,KWABELLI62,Fairhaven,Bellingham,La Crosse C86234
210,KWABELLI90,Chuckanut/Larrabee Park,Bellingham,Ambient Weather WS-1400-IP (Wireless)
211,KWABELLI125,Sudden Valley,Bellingham,Ambient Weather WS-1000 (Wireless)
212,KWABELLI98,Sudden Valley,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
213,KWABELLI111,Alabama Hill,Bellingham,other
214,KWABELLI79,South Neighborhood,Bellingham,Ambient Weather WS-1400-IP (Wireless)
215,KWABELLI108,Haxton Way,Bellingham,AcuRite Pro Weather Center
216,KWABELLI69,Bellingham-Yew St,Bellingham,
217,KWABELLI74,Lettered Streets,Bellingham,Netatmo
218,KWABELLI75,Barkley,Bellingham,Netatmo
219,KWABELLI78,Bennett Avenue,Bellingham,Netatmo
220,KWABELLI85,Silver Beach,Bellingham,Netatmo
221,KWABELLI104,Columbia,Bellingham,AcuRite Pro Weather Center
222,KWABELLI128,Roosevelt,Bellingham,AcuRite Pro Weather Center
223,KWABELLI77,Cedar Ridge/Puget,Bellingham,AcuRite Pro Weather Center
224,KWABELLI126,Highlands 2,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
225,KWABELLI117,Sunnyland on Ellis,Bellingham,AcuRite Pro Weather Center
226,KWABELLI113,E. Smith Rd.,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
227,KWABELLI132,Shipyard,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
228,KWABELLI131,Samish Hill-South West,Bellingham,AcuRite Pro Weather Center
229,KWABELLI103,Britton Rd,Bellingham,AcuRite Pro Weather Center
230,KWABELLI87,Birchwood Hatchery,Bellingham,AcuRite Pro Weather Center
231,KWABELLI115,"Cordata, Whatcom Community College",Bellingham,Davis Vantage Pro2 (Wireless)
232,KWABELLI102,Peppa Howa Illahee,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
233,KWABELLI118,Edgemore,Bellingham,AcuRite Pro Weather Center
234,KWABELLI130,South Hill,Bellingham,Ambient Weather WS-1001-WiFi (Wireless)
235,KWABELLI89,Geneva,Bellingham,Davis Vantage Pro2 Plus (Wireless)
236,KWABELLI105,N Shore / Nautique Run,Bellingham,AcuRite Pro Weather Center
237,KWABELLI133,Sweetbay,Bellingham,AcuRite Pro Weather Center
238,KWABELLI138,Woodcliff Ln (Lake Whatcom),Bellingham,AcuRite Pro Weather Center
239,KWABELLI109,Bellingham Sunnyland,Bellingham,Davis Vantage Vue (Wireless)
240,KWABELMO2,Peringer Road,Belmont,Netatmo
241,KWABENTO13,Fuller,Benton City,AcuRite Pro Weather Center
242,KWABENTO22,Red Mountain,Benton City,AcuRite Pro Weather Center
243,KWABENTO17,Kendall Farm,Benton City,AcuRite Pro Weather Center
244,KWABENTO24,Benton City Yakitat Road,Benton City,AcuRite Pro Weather Center
245,KWABENTO14,Demoss Rd / Ruppert Rd,Benton City,AcuRite Pro Weather Center
246,KWABENTO10,TwoJays,Benton City,AcuRite Pro Weather Center
247,KWABENTO11,Red Mountain East Central 800ft,Benton City,Ambient Weather WS-1001-WiFi (Wireless)
248,KWABICKL2,Bickleton High School,Bickleton,WMR968
249,KWABICKL3,"Bickleton, Gander Rd.",Bickleton,Ambient Weather WS-1001-WiFi (Wireless)
250,KWABLACK1,Lake Sawyer,Black Diamond,Davis Vantage Pro
251,KWABLACK4,Lake Sawyer,Black Diamond,Davis Vantage Pro2 Plus
252,KWABLACK15,The Reserve,Black Diamond,Davis Vantage Pro2 (Wireless)
253,KWABLAIN20,Birch Bay Village,Blaine,AcuRite Pro Weather Center
254,KWABLAIN19,9540 Semiahmoo Parkway,Blaine,Rainwise MK-III
255,KWABLAIN22,Birch Bay - Near C Shop,Blaine,AcuRite Pro Weather Center
256,KWABLAIN16,Birch Bay/ Deer Trail,Blaine,AcuRite Pro Weather Center
257,KWABLAIN26,Bay Crest South,Blaine,AcuRite Pro Weather Center
258,KWABLAIN23,Morningside Dr.,Blaine,AcuRite Pro Weather Center
259,KWABLAIN13,PTL Weather,Blaine,Davis Advantage Pro2
260,KWAWAUCO3,"Bodie, WA.",Bodie,Davis Vantage Vue
261,KWABONNE19,Sky Island,Bonney Lake,Ambient Weather WS-1001-WiFi (Wireless)
262,KWABONNE30,Falling Water,Bonney Lake,AcuRite Pro Weather Center
263,KWABONNE25,lake tapps,Bonney Lake,Ambient Weather WS-1400-IP (Wireless)
264,KWABONNE24,Inlet Island,Bonney Lake,AcuRite Pro Weather Center
265,KWABONNE15,Emerald Hills,Bonney Lake,Davis Vantage Pro2
266,KWABONNE26,Vandermark,Bonney Lake,Ambient Weather WS-1001-WiFi (Wireless)
267,KWABONNE35,Lake Tapps,Bonney Lake,AcuRite Pro Weather Center
268,KWABONNE23,"Near Trilogy Lodge, Tehaleh",Bonney Lake,Ambient Weather WS-1001-WiFi (Wireless)
269,KWABONNE36,Myers Rd / 74th St E,Bonney Lake,AcuRite Pro Weather Center
270,KWABOTHE61,Bothell-Mill Creek,Bothell,Netatmo Weather Station
271,KWABOTHE53,Holly Hills,Bothell,AcuRite Pro Weather Center
272,KWABOTHE105,Shelton View,Bothell,AcuRite Pro Weather Center
273,KWABOTHE91,North Bothell,Bothell,AcuRite Pro Weather Center
274,KWABOTHE88,Paloma,Bothell,AcuRite Pro Weather Center
275,KWABOTHE83,Harvest,Bothell,Ambient Weather WS-1200-IP (Wireless)
276,KWABOTHE103,Canyon Park,Bothell,Ambient Weather WS-1001-WiFi (Wireless)
277,KWABOTHE126,NWoodinville,Bothell,AcuRite Pro Weather Center
278,KWABOTHE56,Bothell South Westhill - Eisnerville,Bothell,AcuRite Pro Weather Center
279,KWABOTHE110,Carlyle,Bothell,AcuRite Pro Weather Center
280,KWABOTHE117,Village at Beardslee Crossing,Bothell,Davis Vantage Vue (Wireless)
281,KWABOTHE89,Carriage Park,Bothell,AcuRite Pro Weather Center
282,KWABOTHE66,Shelton View,Bothell,AcuRite Pro Weather Center
283,KWABOTHE122,Red Hawk,Bothell,AcuRite Pro Weather Center
284,KWABOTHE119,Brighton,Bothell,Ambient Weather WS-1001-WiFi (Wireless)
285,KWABOTHE8,Near Stipek Park,Bothell,Davis Vantage Pro2
286,KWABOTHE80,Lori Lane,Bothell,AcuRite Pro Weather Center
287,KWABOTHE107,Bothell WA,Bothell,Ambient Weather WS-900-IP (Wireless)
288,KWABOTHE93,North City,Bothell,Ambient Weather WS-1001-WiFi (Wireless)
289,KWABOTHE118,Bothell,Bothell,Netatmo
290,KWABOTHE127,Bothell,Bothell,Netatmo
291,KWABOTHE48,242nd Street Southeast,Bothell,Netatmo
292,KWABOTHE82,Snohomish,Bothell,Netatmo
293,KWABOTHE79,"Conifer View, Near Westhill Elementary",Bothell,AcuRite Pro Weather Center
294,KWABOTHE19,Ridgewood,Bothell,Davis Vantage Pro2
295,KWABOTHE6,Norway Vista,Bothell,WMR968
296,KWABOTHE114,Finn Hill,Bothell,AcuRite Pro Weather Center
297,KWABOTHE39,Nike Hill,Bothell,AcuRite Pro Weather Center
298,KWABOTHE102,Canton Ridge,Bothell,AcuRite Pro Weather Center
299,KWABOTHE10,Central Market Mill Creek,Bothell,Davis VantagePro2
300,KWABOTHE111,Martha Lake,Bothell,AcuRite Pro Weather Center
301,KWABOTHE125,NE Corner of Finn Hill,Bothell,AcuRite Pro Weather Center
302,KWABOTHE78,Red Hawk,Bothell,Davis Vantage Pro2 (Wireless)
303,KWABOTHE54,Sprague's Addition,Bothell,Ambient Weather WS-1400-IP (Wireless)
304,KWABOTHE75,Foxglove,Bothell,Ambient Weather WS-1400-IP (Wireless)
305,KWABOTHE100,Bentley,Bothell,Oregon Scientific Professional Weather Center
306,KWABOTHE113,Finn Hilly,Bothell,AcuRite Pro Weather Center
307,KWABOTHE109,Northpointe,Bothell,AcuRite Pro Weather Center
308,KWABOTHE71,Gravenstein,Bothell,AcuRite Pro Weather Center
309,KWABOTHE67,Bothell Canyon Park,Bothell,Ambient Weather WS-1001-WiFi (Wireless)
310,KWABOTHE104,Webster's Pond,Bothell,AcuRite Pro Weather Center
311,KWABOW12,Blanchard,Bow,Davis Vantage Pro2 (Wireless)
312,KWABOW6,Hunter (Chuckanut Bay),Bow,Davis Vantage Pro2 (Wireless)
313,KWABOW3,Bow,Bow,Davis Vantage Pro 2
314,KWABOW10,Samish Island,Bow,Ambient Weather WS-1001-WiFi (Wireless)
315,KWABREME21,*Bridletree*,Bremerton,Davis Instruments Vantage Pro 2
316,KWABREME80,Dyes Inlet - Tracyton,Bremerton,AcuRite Pro Weather Center
317,KWABREME82,Roswell Drive,Bremerton,AcuRite Pro Weather Center
318,KWABREME74,Wildcat Lake,Bremerton,Ambient Weather WS-1400-IP (Wireless)
319,KWABREME69,Tracyton by the Bay,Bremerton,Ambient Weather WS-1001-WiFi (Wireless)
320,KWABREME77,Coyote Ridge,Bremerton,AcuRite Pro Weather Center
321,KWABREME72,"Illahee RD NE Bremerton, WA",Bremerton,AcuRite Pro Weather Center
322,KWABREME64,Illahee,Bremerton,Ambient Weather WS-1001-WiFi (Wireless)
323,KWABREME42,Bremerton-Spruce Ave,Bremerton,
324,KWABREME48,Wencker Circle,Bremerton,Netatmo
325,KWABREME54,McWilliams Ct Area,Bremerton,Ambient Weather WS-1001-WiFi (Wireless)
326,KWABREME41,Sunset Illahee,Bremerton,AcuRite Pro Weather Center
327,KWABREME66,East Bremerton Firs,Bremerton,AcuRite Pro Weather Center
328,KWABREME60,Erland Point,Bremerton,AcuRite Pro Weather Center
329,KWABREME57,NW Meadow Lane,Bremerton,AcuRite Pro Weather Center
330,KWABREME55,SW Kitsap Lake,Bremerton,Ambient Weather WS-1400-IP (Wireless)
331,KWABREME51,Poodle Haven,Bremerton,Ambient Weather WS-1001-WiFi (Wireless)
332,KWABREME65,Old Middle School,Bremerton,AcuRite Pro Weather Center
333,KWABREME36,Bridletree,Bremerton,Davis Vantage Pro2 (Wireless)
334,KWABREME78,PSNS,Bremerton,AcuRite Pro Weather Center
335,KWABREME67,Auto center way,Bremerton,AcuRite Pro Weather Center
336,KWABREME39,Illahee,Bremerton,Davis Vantage Vue
337,KWABREME32,Bloomington Ave,Bremerton,Davis Vantage Vue
338,KWABREME31,Lk Wm. Symington,Bremerton,LaCrosse Weather Pro Center 2800 Series
339,KWABREWS2,,Brewster,Davis Instruments
340,KWABREWS4,"Biebesheimer Retreat, Chiliwist Valley",Brewster,Ambient Weather WS-1400-IP (Wireless)
341,KWABREWS3,Silver Spur Resort,Brewster,Davis Vantage Vue (Wireless)
342,KWABREWS5,Brewster Airport,Brewster,AcuRite Pro Weather Center
343,KWABRIDG2,Jack Wells Road,Bridgeport,AcuRite Pro Weather Center
344,KWABRIER3,"Southwest Brier. Near King, Sno. Co. line",Brier,Davis Vantage Pro
345,KWABRIER2,"Brier, Wa - NE of Seattle",Brier,Davis WMII
346,KWABRIER9,Northeast 195th Court,Brier,Netatmo
347,KWABRIER6,South Brier,Brier,Davis Vantage Pro2 Plus (Wireless)
348,KWABRIER4,K7WV Brierwood,Brier,Davis Vantage Pro 2
349,KWABRINN6,Brinnon,Brinnon,Davis Vantage Pro2 Plus (Wireless)
