"","id","neighborhood","city","type","Elevation","Latitude","Longitude"
"65","KWAARLIN39","Cougar Creek- East Lake KI","Arlington","AcuRite Pro Weather Center","20 ft",48.15238953,-122.25358582
"66","KWAARLIN40","Arlington Heights","Arlington","AcuRite Pro Weather Center","360 ft",48.20639801,-122.06550598
"67","KWAARLIN41","Bryant","Arlington","AcuRite Pro Weather Center","266 ft",48.24867249,-122.15681458
"68","KWAARLIN42","Jordan farms","Arlington","Davis Vantage Pro2 (Wireless)",NA,NA,NA
"69","KWAARLIN52","Getchell Centennial","Arlington","AcuRite Pro Weather Center","413 ft",48.07976532,-122.10612488
"70","KWAARLIN53","Finn Settlement","Arlington","other","500 ft",48.27640152,-122.17358398
"71","KWAARLIN58","South Fork Stillaguamish","Arlington","La Crosse Technology 330-2315 Professional Weather Station","92 ft",48.18818665,-122.08302307
"72","KWAASHFO2","Alpine Village","Ashford","","1842 ft",46.76314926,-121.98961639
"73","KWAASHFO3","Ashford","Ashford","","1935 ft",46.73797989,-121.97040558
"74","KWAASHFO6","Ashford","Ashford","",NA,NA,NA
"75","KWAASHFO8","Paradise Estates","Ashford","","1722 ft",46.73295975,-122.00666046
"76","KWAAUBUR14","Wynaco - WA National","Auburn","Davis Vanage Vue ISS","450 ft",47.30327606,-122.1372757
"77","KWAAUBUR17","Lake Tapps","Auburn","Oregon Scientific Professional Weather Center","554 ft",47.25016022,-122.19535828
"78","KWAAUBUR18","Crestview West","Auburn","Davis Vantage Pro II Plus","440 ft",47.34393311,-122.19632721
"79","KWAAUBUR22","Trout Lake","Auburn","AcuRite Pro Weather Center","367 ft",47.26394272,-122.27451324
"80","KWAAUBUR24","SoosCreekBotanicalGarden","Auburn","Davis Vantage Vue (Wireless)","427 ft",47.3393364,-122.16448975
"81","KWAAUBUR27","Downtown Auburn","Auburn","Davis Vantage Pro2 (Cabled)","82 ft",47.30767059,-122.22953796
"82","KWAAUBUR29","Lakeland South","Auburn","AcuRite Pro Weather Center","433 ft",47.27386475,-122.29239655
"83","KWAAUBUR30","Lakeland North","Auburn","Ambient Weather WS-1001-WiFi (Wireless)","410 ft",47.34499741,-122.26873016
"84","KWAAUBUR32","171st Avenue Southeast","Auburn","Netatmo","406 ft",47.31314087,-122.11349487
"85","KWAAUBUR34","Pacific- West Hill","Auburn","Davis Vantage Vue (Wireless)","318 ft",47.25896454,-122.26969147
"86","KWAAUBUR35","Riverwalk","Auburn","AcuRite Pro Weather Center","276 ft",47.28328705,-122.20068359
"87","KWAAUBUR36","Morning Crest","Auburn","Ambient Weather WS-1400-IP (Wireless)","407 ft",47.32889938,-122.25943756
"88","KWAAUBUR38","Dick Scobee School Area 14th NE/N St NE","Auburn","Davis Vantage Vue (Wireless)","66 ft",47.32138062,-122.21331787
"89","KWAAUBUR40","Sweet Briar Farm","Auburn","Davis Vantage Pro2 (Cabled)","653 ft",47.28623962,-122.01747894
"90","KWAAUBUR41","Camelot NE Federal Way","Auburn","AcuRite Pro Weather Center","420 ft",47.33017349,-122.2829895
"91","KWAAUBUR42","Lakeland North","Auburn","AcuRite Pro Weather Center","361 ft",47.34169769,-122.27799225
"92","KWAAUBUR43","Thadra Estates","Auburn","Davis Vantage Pro2 (Wireless)",NA,NA,NA
"93","KWAAUBUR45","Downtown Auburn","Auburn","AcuRite Pro Weather Center","440 ft",47.30083466,-122.22631836
"94","KWAAUBUR46","Green Valley","Auburn","AcuRite Pro Weather Center","156 ft",47.28930283,-122.08189392
"95","KWAAUBUR47","North Tapps Estate","Auburn","AcuRite Pro Weather Center","563 ft",47.24705124,-122.19167328
"96","KWAAUBUR49","Lakeland North","Auburn","AcuRite Pro Weather Center","452 ft",47.34325409,-122.28103638
"97","KWAAUBUR50","Vista Pointe","Auburn","Ambient Weather WS-1001-WiFi (Wireless)","350 ft",47.29337692,-122.26504517
"98","KWAAUBUR51","Lake Dolloff","Auburn","AcuRite Pro Weather Center","475 ft",47.31753922,-122.27152252
"99","KWAAUBUR6","Heather Highlands","Auburn","wx200","400 ft",47.31415939,-122.11650848
"100","KWAAUBUR7","Auburn High School Area","Auburn","Oregon Scientific WMR 968","75 ft",47.31299973,-122.22100067
"101","KWAAYER2","Pleasant View","Ayer","Vantage Vue","1597 ft",46.51240158,-118.33760071
"102","KWABAINB13","Perennial Vintners (Bainbridge)","Bainbridge Island","Davis Vantage Vue","163 ft",47.67449951,-122.53130341
"103","KWABAINB15","port madison","Bainbridge Island","Davis Vantage Pro2 Plus (Wireless)","25 ft",47.70643234,-122.52116394
"104","KWABAINB16","Seabold","Bainbridge Island","Davis Vantage Pro2 (Cabled)","151 ft",47.6900444,-122.5621109
"105","KWABAINB17","Skiff Point","Bainbridge Island","Ambient Weather WS-1400-IP (Wireless)","120 ft",47.65965271,-122.50403595
"106","KWABAINB22","Madison Avenue Northeast","Bainbridge Island","Netatmo","311 ft",47.67467117,-122.51966858
"107","KWABAINB24","Rolling Bay","Bainbridge Island","AcuRite Pro Weather Center","253 ft",47.68166351,-122.51232147
"108","KWABAINB25","West Port Blakely","Bainbridge Island","Davis Vantage Pro2 Plus (Wireless)","223 ft",47.60221863,-122.53485107
"109","KWABAINB26","Fort Ward","Bainbridge Island","AcuRite Pro Weather Center","240 ft",47.58279419,-122.51815796
"110","KWABAINB27","Bainbridge Island","Bainbridge Island","Ambient Weather WS-1001-WiFi (Wireless)","236 ft",47.5993576,-122.56445312
"111","KWABAINB35","Manitou Beach","Bainbridge Island","AcuRite Pro Weather Center","95 ft",47.6488533,-122.52021027
"112","KWABAINB38","Blakely","Bainbridge Island","Davis Vantage Vue (Wireless)","226 ft",47.61247635,-122.53813171
"113","KWABAINB40","Horizon View","Bainbridge Island","Ambient Weather WS-1001-WiFi (Wireless)","226 ft",47.6342926,-122.52680969
"114","KWABAINB41","Rollingbay","Bainbridge Island","AcuRite Pro Weather Center","207 ft",47.6675148,-122.51406097
"115","KWABAINB43","Eagle Harbor Marina","Bainbridge Island","Rainwise MK-III","0 ft",47.61617279,-122.51307678
"116","KWABAINB45","Bay Hill Meadowmeer","Bainbridge Island","Ambient Weather WS-1400-IP (Wireless)","272 ft",47.66808701,-122.54634094
"117","KWABAINB46","Olympic Terrace","Bainbridge Island","AcuRite Pro Weather Center","331 ft",47.66779709,-122.5617981
"118","KWABAINB47","Olympus Beach","Bainbridge Island","Ambient Weather WS-900-IP (Wireless)","100 ft",47.65006638,-122.58233643
"119","KWABAINB49","Windsong Loop","Bainbridge Island","Bloomsky","100 ft",47.66781616,-122.52378845
"120","KWABAINB50","Blakely Heights","Bainbridge Island","Ambient Weather WS-1200-IP (Wireless)","160 ft",47.60374069,-122.54007721
"121","KWABAINB7","","Bainbridge Island","Davis VantagePro Plus","150 ft",47.59250259,-122.53154755
"122","KWABARIN3","Riverwood","Baring","other","778 ft",47.7603302,-121.47595978
"123","KWABATTL12","MrBear@Clover Meadows","Battle Ground","Ambient Weather WS-1001-WiFi (Wireless)","279 ft",45.77238846,-122.53211975
"124","KWABATTL16","Battle Ground 167th/219th","Battle Ground","Vantage Vue","345 ft",45.77661514,-122.50418854
"125","KWABATTL17","BATTLE GROUND .5 m North of H.S.","Battle Ground","Davis Vantage VUE","305 ft",45.79034042,-122.53871918
"126","KWABATTL18","Battle Ground","Battle Ground","Vantage Pro 2","300 ft",45.79404068,-122.54434204
"127","KWABATTL19","","Battle Ground 199th/parkway","WS-1080","312 ft",45.76805878,-122.53437042
"128","KWABATTL20","Crawford","Battle Ground","Davis Vantage PRO2","574 ft",45.80651474,-122.46664429
"129","KWABATTL25","Bell Mountain Mining Company Estates","Battle Ground","AcuRite Pro Weather Center",NA,NA,NA
"130","KWABATTL26","Near Chief Umtuch Middle School","Battle Ground","AcuRite Pro Weather Center","308 ft",45.78800583,-122.54332733
"131","KWABATTL27","Charter Oak","Battle Ground","AcuRite Pro Weather Center","541 ft",45.84097672,-122.54464722
"132","KWABATTL28","Northeast 207th Street","Battle Ground","Netatmo","377 ft",45.77181244,-122.58643341
"133","KWABATTL3","2 blks E. of Captain Strong Primary","Battle Ground","AcuRite Pro Weather Center","290 ft",45.78876495,-122.54096985
"134","KWABATTL30","rock creek canyon estates","Battle Ground","AcuRite Pro Weather Center","476 ft",45.79252625,-122.44551086
"135","KWABATTL31","Creekview Point","Battle Ground","AcuRite Pro Weather Center",NA,NA,NA
"136","KWABATTL33","Crawford","Battle Ground","AcuRite Pro Weather Center","453 ft",45.80890656,-122.48767853
"137","KWABATTL34","Battlebrook","Battle Ground","AcuRite Pro Weather Center","341 ft",45.78474426,-122.52872467
"138","KWABATTL36","Dollar's Corner","Battle Ground","Ambient Weather WS-1001-WiFi (Wireless)","318 ft",45.77714539,-122.58570099
"139","KWABATTL37","Parkside Airpark","Battle Ground","Ambient Weather WS-1001-WiFi (Wireless)","285 ft",45.81468582,-122.54953766
"140","KWABATTL44","Venersborg","Battle Ground","Ambient Weather WS-1001-WiFi (Wireless)","410 ft",45.77222443,-122.4597168
"141","KWABATTL7","1.5 miles east of Heisson - Woodhaven","Battle Ground","Davis Vantage Pro 2","751 ft",45.81818008,-122.46347809
"142","KWABELFA12","Union River Estuary","Belfair","Davis Vantage Pro2 (Wireless)","0 ft",47.44538879,-122.83570099
"143","KWABELFA6","Happy Hollow Estates","Belfair","Ambient Weather WS-900-IP (Wireless)","203 ft",47.38459396,-122.91560364
"144","KWABELLE100","Enatai","Bellevue","Ambient Weather WS-1200-IP (Wireless)","125 ft",47.58546448,-122.19482422
"145","KWABELLE107","Wilburton","Bellevue","Netatmo","164 ft",47.61881638,-122.1673584
"146","KWABELLE111","Northeast 2nd Place","Bellevue","Netatmo","88 ft",47.61141968,-122.22629547
"147","KWABELLE114","Amherst","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","460 ft",47.54721069,-122.15670776
"148","KWABELLE117","Enatai","Bellevue","Ambient Weather WS-1400-IP (Wireless)","148 ft",47.58871078,-122.1993103
"149","KWABELLE118","Tam O'Shanter","Bellevue","AcuRite Pro Weather Center",NA,NA,NA
"150","KWABELLE119","Northeast Bellevue","Bellevue","Netatmo","406 ft",47.6202507,-122.11388397
"151","KWABELLE124","Downtown Bellevue","Bellevue","AcuRite Pro Weather Center","118 ft",47.61331558,-122.19180298
"152","KWABELLE126","West Bellevue","Bellevue","Netatmo","0 ft",47.61263275,-122.20443726
"153","KWABELLE128","Northwest Bellevue","Bellevue","Netatmo","0 ft",47.6193161,-122.21381378
"154","KWABELLE133","Downtown Bellevue","Bellevue","Bloomsky","1780 ft",47.61422348,-122.19750214
"155","KWABELLE135","Lake Hills","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","328 ft",47.602005,-122.14585876
"156","KWABELLE139","Kirkland","Bellevue","Netatmo","0 ft",47.66322708,-122.16589355
"157","KWABELLE141","Surrey Downs","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","112 ft",47.60703278,-122.19428253
"158","KWABELLE142","Bellevue NorthTowne","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","292 ft",47.62820435,-122.20678711
"159","KWABELLE143","Newport Hills","Bellevue","AcuRite Pro Weather Center","449 ft",47.54150009,-122.17703247
"160","KWABELLE149","Bellevue","Bellevue","Netatmo","0 ft",47.60012436,-122.140625
"161","KWABELLE150","Forest Drive/Somerset","Bellevue","AcuRite Pro Weather Center","770 ft",47.54879761,-122.14186859
"162","KWABELLE151","Wilburton Hill","Bellevue","AcuRite Pro Weather Center","213 ft",47.61354446,-122.17581177
"163","KWABELLE152","Robinswood","Bellevue","AcuRite Pro Weather Center","371 ft",47.5949707,-122.13817596
"164","KWABELLE153","Tam O'Shanter","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","250 ft",47.62105179,-122.09391785
"165","KWABELLE154","College hill","Bellevue","Ambient Weather WS-1400-IP (Wireless)","400 ft",47.59208298,-122.15885162
"166","KWABELLE156","Sunset Park","Bellevue","AcuRite Pro Weather Center","62 ft",47.58160019,-122.15483856
"167","KWABELLE158","Bellewood East","Bellevue","Bloomsky2 + Storm","180 ft",47.62602234,-122.11266327
"168","KWABELLE159","Forest Glen East","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","679 ft",47.55046463,-122.14993286
"169","KWABELLE16","Redwood Estates","Bellevue","WMR968_APRS","260 ft",47.64128876,-122.11810303
"170","KWABELLE17","Bellevue - Downtown Park","Bellevue","Davis Vantage Pro 2",NA,NA,NA
"171","KWABELLE31","Horizon Crest","Bellevue","Davis Vantage Pro 2","1000 ft",47.55818558,-122.13192749
"172","KWABELLE35","Glendale 3rd Tee","Bellevue","Davis Vantage Pro 2","138 ft",47.61449814,-122.15899658
"173","KWABELLE4","summit","Bellevue","vantage pro2 fan asp","1170 ft",47.5528183,-122.13322449
"174","KWABELLE43","Lakemont Highlands","Bellevue","Davis Vantage Pro2 (Wireless)","896 ft",47.5513382,-122.12763977
"175","KWABELLE46","Bellevue-Bellevue Way","Bellevue","",NA,NA,NA
"176","KWABELLE47","Bretton Wood","Bellevue","other","240 ft",47.6174469,-122.10160828
"177","KWABELLE50","Northeast Bellevue","Bellevue","Netatmo","242 ft",47.62001038,-122.09835815
"178","KWABELLE53","Northeast 14th Street","Bellevue","Netatmo","331 ft",47.62362289,-122.21421051
"179","KWABELLE56","West Lake Hills","Bellevue","Netatmo","275 ft",47.58965683,-122.15272522
"180","KWABELLE57","Bellewood East","Bellevue","Ambient Weather WS-1400-IP (Wireless)","390 ft",47.62596893,-122.11128998
"181","KWABELLE58","Bridle Trails","Bellevue","Netatmo","479 ft",47.63756943,-122.16299438
"182","KWABELLE61","Cougar Mountain","Bellevue","Netatmo","1010 ft",47.54156876,-122.12024689
"183","KWABELLE65","Cougar Hills","Bellevue","AcuRite Pro Weather Center","495 ft",47.56978607,-122.12267303
"184","KWABELLE66","Memellandstraße","Bellevue","Netatmo","223 ft",47.61789703,-122.10096741
"185","KWABELLE68","Bridle Trails","Bellevue","Netatmo","183 ft",47.63262939,-122.18109131
"186","KWABELLE75","Lake Sammamish","Bellevue","Ambient Weather WS-1400-IP (Wireless)","37 ft",47.60151291,-122.11030579
"187","KWABELLE78","East Lake Hills","Bellevue","Netatmo","219 ft",47.58151245,-122.11754608
"188","KWABELLE80","Northeast Bellevue","Bellevue","Netatmo","311 ft",47.61983871,-122.10391998
"189","KWABELLE83","Lake Crest","Bellevue","Davis Vantage Vue (Wireless)","272 ft",47.58380508,-122.11747742
"190","KWABELLE91","Wilburton","Bellevue","Ambient Weather WS-1001-WiFi (Wireless)","213 ft",47.61422348,-122.16950226
"191","KWABELLE98","Pinnacle","Bellevue","Davis Vantage Vue (Wireless)","1371 ft",47.54171753,-122.11277771
"192","KWABELLE99","Newport Hills","Bellevue","Ambient Weather WS-1400-IP (Wireless)","292 ft",47.55861282,-122.18005371
"193","KWABELLI102","Peppa Howa Illahee","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","23 ft",48.71996689,-122.64840698
"194","KWABELLI103","Britton Rd","Bellingham","AcuRite Pro Weather Center","322 ft",48.79053116,-122.41805267
"195","KWABELLI104","Columbia","Bellingham","AcuRite Pro Weather Center","69 ft",48.76399994,-122.50250244
"196","KWABELLI105","N Shore / Nautique Run","Bellingham","AcuRite Pro Weather Center","318 ft",48.74905396,-122.34864044
"197","KWABELLI107","St. Clair Park","Bellingham","AcuRite Pro Weather Center","223 ft",48.75788116,-122.43656921
"198","KWABELLI108","Haxton Way","Bellingham","AcuRite Pro Weather Center","20 ft",48.7493782,-122.66532135
"199","KWABELLI109","Bellingham Sunnyland","Bellingham","Davis Vantage Vue (Wireless)","59 ft",48.75317383,-122.47220612
"200","KWABELLI111","Alabama Hill","Bellingham","other","456 ft",48.76132202,-122.42766571
"201","KWABELLI113","E. Smith Rd.","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","272 ft",48.82394028,-122.39607239
"202","KWABELLI115","Cordata, Whatcom Community College","Bellingham","Davis Vantage Pro2 (Wireless)","177 ft",48.79541397,-122.49378967
"203","KWABELLI117","Sunnyland on Ellis","Bellingham","AcuRite Pro Weather Center","130 ft",48.76569748,-122.4718399
"204","KWABELLI118","Edgemore","Bellingham","AcuRite Pro Weather Center","30 ft",48.7075119,-122.51307678
"205","KWABELLI119","Strawberry Point","Bellingham","AcuRite Pro Weather Center","317 ft",48.73888016,-122.37050629
"206","KWABELLI125","Sudden Valley","Bellingham","Ambient Weather WS-1000 (Wireless)","611 ft",48.72128296,-122.3471756
"207","KWABELLI126","Highlands 2","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","525 ft",48.73799896,-122.4477005
"208","KWABELLI128","Roosevelt","Bellingham","AcuRite Pro Weather Center","421 ft",48.76039505,-122.4416275
"209","KWABELLI129","Fairhaven Residential","Bellingham","Ambient Weather WS-1200-IP (Wireless)","45 ft",48.71745682,-122.50655365
"210","KWABELLI130","South Hill","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","130 ft",48.73049545,-122.49981689
"211","KWABELLI131","Samish Hill-South West","Bellingham","AcuRite Pro Weather Center","495 ft",48.71137238,-122.46603394
"212","KWABELLI132","Shipyard","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","18 ft",48.72060394,-122.5147934
"213","KWABELLI133","Sweetbay","Bellingham","AcuRite Pro Weather Center","125 ft",48.74969864,-122.44693756
"214","KWABELLI136","Cordata - THOMAS","Bellingham","AcuRite Pro Weather Center","145 ft",48.81389618,-122.4994812
"215","KWABELLI138","Woodcliff Ln (Lake Whatcom)","Bellingham","AcuRite Pro Weather Center","314 ft",48.73426437,-122.35018921
"216","KWABELLI140","Silver Beach","Bellingham","Ambient Weather WS-1400-IP (Wireless)","400 ft",48.76740265,-122.42260742
"217","KWABELLI17","Locust Beach Driftwood (1 mile out)","Bellingham","Davis Vantage Pro","80 ft",48.7780838,-122.55849457
"218","KWABELLI33","Sudden Valley/Lake Whatcom","Bellingham","Rain Wise MKIII","648 ft",48.70349884,-122.32299805
"219","KWABELLI40","Hannegan and Kelly","Bellingham","Ambient Weather WS-1000 (Wireless)","319 ft",48.82128525,-122.44100189
"220","KWABELLI42","Viewmont Heights","Bellingham","Davis Vantage Pro 2",NA,NA,NA
"221","KWABELLI47","Deming","Bellingham","Ambient Weather WS-2080-IP","233 ft",48.83272171,-122.33345032
"222","KWABELLI55","Yew St Rd","Bellingham","Vantage Pro2","609 ft",48.73239136,-122.44342041
"223","KWABELLI60","Columbia-Eldridge Marimba Palace","Bellingham","LaCrosse","97 ft",48.76047134,-122.49723053
"224","KWABELLI62","Fairhaven","Bellingham","La Crosse C86234","66 ft",48.71940994,-122.5033493
"225","KWABELLI66","South Hills - Padden","Bellingham","Davis Vantage","686 ft",48.71337128,-122.4446106
"226","KWABELLI69","Bellingham-Yew St","Bellingham","","131 ft",48.76269913,-122.44020081
"227","KWABELLI70","Alabama Hill - Illinois Lane","Bellingham","Davis Vantage Vue (Wireless)","364 ft",48.76802826,-122.43037415
"228","KWABELLI71","Birchwood","Bellingham","Ambient Weather WS-1000 (Wireless)","154 ft",48.7780571,-122.51519775
"229","KWABELLI74","Lettered Streets","Bellingham","Netatmo","104 ft",48.76246643,-122.47897339
"230","KWABELLI75","Barkley","Bellingham","Netatmo","501 ft",48.77362061,-122.42591095
"231","KWABELLI77","Cedar Ridge/Puget","Bellingham","AcuRite Pro Weather Center","292 ft",48.73754883,-122.45828247
"232","KWABELLI78","Bennett Avenue","Bellingham","Netatmo","308 ft",48.72643661,-122.4964447
"233","KWABELLI79","South Neighborhood","Bellingham","Ambient Weather WS-1400-IP (Wireless)",NA,NA,NA
"234","KWABELLI80","Edgmore","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","269 ft",48.70485306,-122.50097656
"235","KWABELLI84","Columbia / Lorraine Ellis","Bellingham","Ambient Weather WS-1001-WiFi (Wireless)","89 ft",48.76808548,-122.49430847
"236","KWABELLI85","Silver Beach","Bellingham","Netatmo","324 ft",48.75662231,-122.41677094
"237","KWABELLI87","Birchwood Hatchery","Bellingham","AcuRite Pro Weather Center","92 ft",48.774189,-122.50856018
"238","KWABELLI89","Geneva","Bellingham","Davis Vantage Pro2 Plus (Wireless)","344 ft",48.74507141,-122.39537048
